class,Elevation,Slope,Aspect,Curvature,TWI,Distance_to_Rivers,Annual_Rainfall,Event_Rainfall,NDVI,LULC
1,1588.0,4.984211,21.862387,4.0,3.121171,1187.9395,628.09436,191.40013,0.35632184,40.0
1,1578.0,2.625538,134.91203,1.0,3.7538152,954.82983,621.74994,188.50443,0.31403762,40.0
1,1617.0,2.6255789,45.088852,15.0,4.852412,870.0,632.62286,176.06828,0.55109835,20.0
1,1713.0,1.313476,225.08871,3.0,5.1189795,1633.5544,713.379,212.15216,0.3654822,40.0
1,1722.0,4.7191606,168.65579,-9.0,3.1754375,381.83768,713.379,212.15216,0.30332637,40.0
1,1678.0,4.6364126,306.78574,3.0,3.5984569,420.0,718.2356,223.7315,0.32995468,30.0
1,1682.0,2.0743108,333.3641,3.0,3.984073,480.0,713.379,212.15216,0.4671521,40.0
1,1850.0,1.3134817,314.91104,1.0,4.425828,3748.92,774.91144,242.72476,0.2287198,30.0
1,1768.0,2.0743086,333.36423,-2.0,4.900365,1148.2595,756.01904,223.40785,0.21302274,40.0
1,1579.0,2.9385633,71.61802,4.0,4.3364296,2135.2751,622.1917,122.01419,0.4441461,40.0
1,1564.0,2.078103,116.49505,5.0,4.3877587,1530.0,622.1917,122.01419,0.21845752,20.0
1,1539.0,3.7160425,270.0,-7.0,8.780341,150.0,622.1917,122.01419,0.23216122,30.0
1,1612.0,13.548963,317.63898,11.0,2.112036,1527.3507,629.70197,145.82762,0.43680295,20.0
1,1543.0,9.205186,216.95459,7.0,3.42309,1733.2628,629.70197,145.82762,0.3429864,30.0
1,1501.0,5.3965836,148.95793,-6.0,3.735262,840.5355,618.3032,190.81038,0.26419753,30.0
1,1515.0,7.4530897,60.332592,-12.0,2.7194676,1273.4991,618.3032,190.81038,0.28334463,30.0
1,1520.0,7.943938,234.54753,4.0,2.6553876,1382.9316,615.0279,187.35516,0.31435144,20.0
1,1575.0,2.7802885,180.0,7.0,3.6976516,1620.0,629.70197,145.82762,0.31785798,40.0
1,1570.0,2.9313247,341.51233,-8.0,3.645706,1056.8348,614.0869,145.33093,0.31491712,20.0
1,1569.0,3.3474407,56.39126,6.0,3.5150871,1637.6813,614.0869,145.33093,0.31380755,20.0
1,1527.0,5.92881,231.42659,1.0,3.3538542,2870.1394,611.83514,154.27658,0.4917995,20.0
1,1566.0,2.078167,116.49416,-2.0,3.9822638,1678.3921,592.8851,133.22314,0.5603945,40.0
1,1574.0,2.7888234,90.0,9.0,3.6946435,806.10175,622.1917,122.01419,0.37848222,40.0
1,1660.0,7.625294,103.994514,0.0,3.101998,2176.8096,592.8851,133.22314,0.42521992,40.0
1,1805.0,5.92477,141.25429,-4.0,3.6422162,1865.315,841.79974,240.31903,0.49294212,20.0
1,1726.0,12.188918,166.96704,26.0,4.3610473,873.61316,694.4406,211.00421,0.5916755,20.0
1,1937.0,5.6240416,189.49072,10.0,4.610439,2248.3994,805.8133,219.01735,0.46664962,40.0
1,1682.0,3.343474,213.77107,17.0,4.432546,1574.9286,628.09436,191.40013,0.51338315,20.0
1,1598.0,3.343504,213.77184,-12.0,3.5162466,1442.4978,595.6812,164.96144,0.36159146,40.0
1,1539.0,2.7884028,90.0,1.0,5.486551,750.0,678.56647,166.41734,0.519455,40.0
1,1527.0,0.92740995,-0.0,9.0,9.596947,42.426407,678.56647,166.41734,0.27311626,30.0
1,1530.0,2.931275,198.48476,-4.0,3.6457226,450.0,678.56647,166.41734,0.7431341,10.0
1,1533.0,2.6253376,225.0836,4.0,3.75389,690.0,678.56647,166.41734,0.35734597,20.0
1,1696.0,1.3133719,225.0842,3.0,6.3718185,1797.2479,699.529,183.24785,0.43421847,40.0
1,1883.0,6.5303154,8.153851,13.0,4.355955,4022.7976,925.56116,230.97346,0.39360043,40.0
1,1660.0,47.00029,154.91925,50.0,1.5386257,1442.4978,676.90576,185.35197,0.30250826,30.0
1,1531.0,0.0,-0.0,0.0,8.294049,827.58685,676.90576,185.35197,0.04131735,80.0
1,1531.0,0.0,-0.0,0.0,10.203592,1187.9395,673.04,186.17851,0.103641436,80.0
1,1531.0,0.0,-0.0,0.0,8.517193,975.8074,676.90576,185.35197,0.11693084,80.0
1,1537.0,2.931292,198.48575,-9.0,10.340279,0.0,690.8675,191.67844,0.103818856,80.0
1,1542.0,0.9301595,270.0,-3.0,4.7539153,840.0,690.8675,191.67844,0.4954135,30.0
1,1537.0,0.0,-0.0,0.0,14.255699,210.0,690.8675,191.67844,-0.00531912,80.0
1,1781.0,0.93022066,90.0,2.0,4.7538533,2188.3555,718.2356,223.7315,0.26149926,40.0
1,1783.0,2.0780752,296.49542,5.0,3.982307,2227.4873,765.72406,233.42726,0.24968942,40.0
1,1750.0,11.09443,65.62159,36.0,2.7227008,782.30426,765.72406,233.42726,0.3691756,40.0
1,1704.0,2.0780382,63.504063,0.0,6.8445253,1325.4434,749.7033,216.59015,0.4195745,40.0
1,1696.0,3.8293123,103.995605,0.0,3.787834,2329.9785,749.7033,216.59015,0.14420876,40.0
1,1658.0,6.2118983,296.4982,-6.0,3.5949805,2100.0,751.98224,191.77068,0.39340192,20.0
1,1568.0,2.0780783,296.4954,5.0,3.9823055,67.08204,621.74994,188.50443,0.27983066,40.0
1,1776.0,3.3473737,123.609505,7.0,4.613719,2165.41,765.72406,233.42726,0.38032305,30.0
1,1764.0,6.530327,351.84543,20.0,2.851876,1233.2883,765.72406,233.42726,0.35525566,40.0
1,1720.0,2.9384208,71.617096,13.0,3.64333,2495.5962,756.01904,223.40785,0.266752,40.0
1,1728.0,2.9384649,251.61739,2.0,4.0487804,1194.3617,756.01904,223.40785,0.24610591,40.0
1,1556.0,0.92740995,-0.0,-3.0,4.7567043,530.75415,622.1917,122.01419,0.39506173,40.0
1,1547.0,3.347322,56.389904,6.0,3.515122,600.0,622.1917,122.01419,0.44752583,40.0
1,1617.0,1.313418,225.0862,-6.0,4.83134,1958.9794,797.48804,219.417,0.273843,40.0
1,1632.0,5.239822,314.91504,17.0,4.863208,2022.4984,797.48804,219.417,0.3212766,40.0
1,1676.0,0.92740995,180.0,-3.0,5.4498515,3012.275,791.024,202.88454,0.34950322,40.0
1,1679.0,3.8292055,103.996,-5.0,4.7686906,2155.4119,791.024,202.88454,0.19171779,40.0
1,1643.0,2.6253939,45.084824,5.0,4.159334,551.5433,865.9045,203.44125,0.21937093,40.0
1,1616.0,1.8543341,-0.0,5.0,4.7862263,3180.0,853.72614,184.01015,0.32015538,40.0
1,1591.0,1.8597543,270.0,2.0,5.47654,2442.376,853.72614,184.01015,0.37400085,40.0
1,1615.0,1.8597625,270.0,-2.0,5.006532,2880.0,853.72614,184.01015,0.36353734,40.0
1,1670.0,2.938121,288.38486,11.0,4.3365774,2550.0,864.6236,198.31412,0.30131003,40.0
1,1630.0,3.343474,326.22894,-7.0,4.9025497,534.1348,790.60474,227.21303,0.43296796,40.0
1,1612.0,1.8599274,270.0,0.0,4.4956207,1674.0968,797.48804,219.417,0.25252822,40.0
1,1627.0,0.93004537,270.0,-9.0,5.1594963,1484.9242,727.1607,168.19243,0.28788224,40.0
1,1641.0,0.0,-0.0,1.0,9.740969,573.1492,724.30896,163.16455,0.2773777,40.0
1,1692.0,5.239324,134.9205,-6.0,3.0715427,2606.5496,724.30896,163.16455,0.430848,20.0
1,1684.0,5.927708,128.58195,-1.0,3.3540397,1681.071,775.12537,170.34435,0.2938727,20.0
1,1639.0,2.077655,243.4988,7.0,7.2406006,429.53464,733.26953,111.38094,0.37236255,30.0
1,1580.0,2.0742102,333.36966,-7.0,4.9004107,600.0,853.42535,174.28186,0.50322384,40.0
1,1619.0,5.639059,99.43594,-4.0,2.998344,1654.6299,853.42535,174.28186,0.35459334,40.0
1,1640.0,2.6252677,225.08208,2.0,4.4470634,2925.423,853.42535,174.28186,0.39314803,40.0
1,1586.0,2.6254122,314.91476,1.0,4.159327,530.75415,863.88776,196.77992,0.32380396,40.0
1,1642.0,2.0780244,296.49612,3.0,3.9823308,2948.101,863.88776,196.77992,0.35518292,40.0
1,1577.0,3.7047918,180.0,-8.0,4.331317,690.0,745.95416,231.05583,0.43858737,80.0
1,1620.0,3.9352355,225.0933,3.0,3.3553972,331.36084,763.6578,239.95145,0.33247536,80.0
1,1620.0,3.8301513,283.99246,7.0,7.7704096,192.09373,763.6578,239.95145,-0.25474522,80.0
1,1621.0,3.716855,90.0,5.0,3.411816,296.98486,763.6578,239.95145,-0.13305107,80.0
1,1620.0,2.6257927,45.093513,1.0,6.1960673,496.58835,763.6578,239.95145,-0.20028512,80.0
1,1625.0,1.3135763,45.093086,2.0,6.217519,381.83768,763.6578,239.95145,0.3283161,30.0
1,1621.0,3.9352324,45.093266,5.0,5.060146,466.6905,763.6578,239.95145,0.3411106,80.0
1,1698.0,0.9303995,270.0,7.0,4.7536726,975.8074,762.7166,249.04008,0.39641318,30.0
1,1673.0,2.074363,26.638779,0.0,7.2798853,254.55844,762.7166,249.04008,0.44104806,40.0
1,1652.0,3.7047918,180.0,12.0,3.4150264,300.0,763.6578,239.95145,0.1680261,40.0
1,1644.0,2.0743706,333.3608,-4.0,3.9840448,1129.6902,763.6578,239.95145,0.5044424,40.0
1,1696.0,2.931355,161.51056,-5.0,4.051161,1273.4991,762.7166,249.04008,0.33333334,40.0
1,1762.0,0.92740995,180.0,-8.0,4.7567043,3033.5623,774.91144,242.72476,0.5386503,40.0
1,1732.0,1.8543341,-0.0,7.0,4.7862263,997.2462,713.379,212.15216,0.37864557,40.0
1,1718.0,0.9303224,270.0,-4.0,5.670041,339.41125,713.379,212.15216,0.28037247,40.0
1,1745.0,1.8601602,270.0,-2.0,5.006325,1651.0906,713.379,212.15216,0.44558716,40.0
1,1737.0,1.8543341,-0.0,-2.0,4.7862263,1103.0865,713.379,212.15216,0.47611827,40.0
1,1789.0,0.92740995,180.0,-8.0,4.7567043,3372.966,669.65265,185.89183,0.25835204,40.0
1,1741.0,3.3435845,213.77391,-12.0,4.4325137,3330.5405,750.4868,222.71527,0.5896088,30.0
1,1796.0,0.92740995,-0.0,-10.0,4.7567043,4221.481,750.4868,222.71527,0.3234811,30.0
1,1801.0,3.8191946,345.9208,2.0,3.3849833,3218.9595,750.4868,222.71527,0.3714675,40.0
1,1763.0,3.8192048,165.92018,6.0,3.3849807,3756.2349,753.55304,218.2654,0.32604364,40.0
1,1731.0,3.34365,213.77559,2.0,3.9216688,3779.762,753.55304,218.2654,0.32997805,40.0
1,1717.0,3.830119,256.00742,-3.0,3.3821607,2779.0105,753.55304,218.2654,0.35787925,40.0
1,1702.0,3.343669,146.22392,5.0,3.516198,3305.0415,753.55304,218.2654,0.3543802,30.0
1,1480.0,6.2015343,153.36018,16.0,2.9035008,1972.2576,753.55304,218.2654,0.32045612,40.0
1,1445.0,6.4858284,90.0,8.0,2.8587127,1252.8368,650.98444,182.9908,0.32996702,40.0
1,1411.0,7.626446,283.99234,10.0,5.874435,240.0,650.98444,182.9908,0.33812767,40.0
1,1412.0,2.078431,116.49054,23.0,7.160194,94.86833,650.98444,182.9908,0.26724976,40.0
1,1456.0,3.3436728,326.22382,1.0,3.516197,810.0,650.98444,182.9908,0.28172204,40.0
1,1467.0,1.3135709,314.90714,0.0,4.425763,1380.0,598.258,161.24826,0.3197838,40.0
1,1474.0,2.6257434,45.092438,-5.0,4.1592035,1373.7904,598.258,161.24826,0.31232864,40.0
1,1432.0,2.7802885,180.0,1.0,3.6976516,330.0,650.98444,182.9908,0.368502,40.0
1,1433.0,1.3135877,45.093582,-1.0,4.831216,403.60873,598.258,161.24826,0.22505286,30.0
1,1528.0,2.0743856,153.35997,-9.0,3.9840379,560.4462,597.91626,152.84787,0.28171825,30.0
1,1518.0,0.93045485,270.0,11.0,5.1590815,488.36462,597.91626,152.84787,0.21619792,40.0
1,1562.0,3.3436723,33.77616,-14.0,3.516197,1955.7607,597.91626,152.84787,0.42785823,40.0
